Variables,Coef,AbsCoef
TYPE_CONTRAT_Cash loans,0.06572873697522595,0.06572873697522595
TYPE_CONTRAT_Revolving loans,-0.06793264587962727,0.06793264587962727
SEXE_F,-0.16270303440612116,0.16270303440612116
SEXE_M,0.160499125501749,0.160499125501749
POSSEDE_UNE_VOITURE_N,0.12295533230432647,0.12295533230432647
POSSEDE_UNE_VOITURE_Y,-0.12515924120869631,0.12515924120869631
POSSEDE_UN_LOGEMENT_Y,0.011353658236915067,0.011353658236915067
POSSEDE_UN_LOGEMENT_N,-0.013557567141296042,0.013557567141296042
ACCOMPAGNATEUR_Unaccompanied,-0.0002591691174811281,0.0002591691174811281
ACCOMPAGNATEUR_Family,0.02175070160514902,0.02175070160514902
ACCOMPAGNATEUR_Other_A,0.059292123979075025,0.059292123979075025
"ACCOMPAGNATEUR_Spouse, partner",-0.06384468019119019,0.06384468019119019
ACCOMPAGNATEUR_Children,0.08879329928622375,0.08879329928622375
ACCOMPAGNATEUR_inconnu,-0.14959434624386653,0.14959434624386653
ACCOMPAGNATEUR_Other_B,0.07934617116335971,0.07934617116335971
ACCOMPAGNATEUR_Group of people,-0.0376880093856585,0.0376880093856585
TYPE_DE_REVENUS_other,0.02448194443210601,0.02448194443210601
TYPE_DE_REVENUS_Working,0.08889275739596025,0.08889275739596025
TYPE_DE_REVENUS_Pensioner,-0.07951720821558465,0.07951720821558465
TYPE_DE_REVENUS_State servant,-0.025463770061541956,0.025463770061541956
TYPE_DE_REVENUS_Unemployed,-0.009567969047253566,0.009567969047253566
TYPE_DE_REVENUS_Maternity leave,-0.0010296634080532822,0.0010296634080532822
NIVEAU_D_ETUDES_Higher education,-0.14368099856689115,0.14368099856689115
NIVEAU_D_ETUDES_Secondary / secondary special,0.12278579267500674,0.12278579267500674
NIVEAU_D_ETUDES_Incomplete higher,-0.06785134239007393,0.06785134239007393
NIVEAU_D_ETUDES_Lower secondary,0.23875246035850187,0.23875246035850187
NIVEAU_D_ETUDES_Academic degree,-0.15220982098088273,0.15220982098088273
STATUT FAMILIAL_Single / not married,-0.00431361609490022,0.00431361609490022
STATUT FAMILIAL_Married,-0.08948058766554683,0.08948058766554683
STATUT FAMILIAL_Separated,0.07918679571964887,0.07918679571964887
STATUT FAMILIAL_Civil marriage,0.044178878429910536,0.044178878429910536
